ID_Oficial,Nombre,Distrito,Bloque,Mandato,Inicio_Mandato,Fin_Mandato,Fecha_Nacimiento,URL_Perfil
gcaguero,"Agüero, Guillermo César",CHACO,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,1971-04-23,https://www.diputados.gov.ar/diputados/gcaguero/
haguirre,"Aguirre, Hilda",LA RIOJA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1960-04-11,https://www.diputados.gov.ar/diputados/haguirre/
sajmechet,"Ajmechet, Sabrina",CIUDAD DE BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1981-08-22,https://www.diputados.gov.ar/diputados/sajmechet/
enali,"Alí, Ernesto ""Pipi""",SAN LUIS,UNIÓN POR LA PATRIA,2023-2027,2024-01-31,2027-12-09,1971-10-04,https://www.diputados.gov.ar/diputados/enali/
calmena,"Almena, Carlos Alberto",SAN LUIS,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1968-04-06,https://www.diputados.gov.ar/diputados/calmena/
calmiron,"Almirón, Lisandro",CORRIENTES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1973-12-06,https://www.diputados.gov.ar/diputados/calmiron/
caalvarez,"Álvarez, Claudio",SAN LUIS,INNOVACIÓN FEDERAL,2023-2027,2025-12-10,2027-12-09,1976-07-30,https://www.diputados.gov.ar/diputados/caalvarez/
candino,"Andino, Cristian",SAN JUAN,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1973-05-02,https://www.diputados.gov.ar/diputados/candino/
jandrade,"Andrade, Javier",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2025-12-10,2027-12-09,1969-02-01,https://www.diputados.gov.ar/diputados/jandrade/
bandreussi,"Andreussi, Barbara",JUJUY,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1965-11-22,https://www.diputados.gov.ar/diputados/bandreussi/
pansaloni,"Ansaloni, Pablo",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1971-05-09,https://www.diputados.gov.ar/diputados/pansaloni/
darabia,"Arabia, Damián",CIUDAD DE BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1991-07-22,https://www.diputados.gov.ar/diputados/darabia/
jaraujoh,"Araujo Hernández, Jorge Neri",TIERRA DEL FUEGO,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1968-04-05,https://www.diputados.gov.ar/diputados/jaraujoh/
mardohain,"Ardohain, Martín",LA PAMPA,PRO,2023-2027,2023-12-10,2027-12-09,1968-02-29,https://www.diputados.gov.ar/diputados/mardohain/
larrieta,"Arrieta, Lourdes Micaela",MENDOZA,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1993-03-25,https://www.diputados.gov.ar/diputados/larrieta/
aarrua,"Arrúa, Alberto",MISIONES,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,1976-06-29,https://www.diputados.gov.ar/diputados/aarrua/
maveiro,"Aveiro, Martín",MENDOZA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1975-06-30,https://www.diputados.gov.ar/diputados/maveiro/
bavico,"Avico, Belén",CORDOBA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1979-11-27,https://www.diputados.gov.ar/diputados/bavico/
mavila,"Avila, Fernanda",CATAMARCA,ELIJO CATAMARCA,2023-2027,2023-12-10,2027-12-09,1987-03-11,https://www.diputados.gov.ar/diputados/mavila/
jaavila,"Avila, Jorge Antonio",CHUBUT,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1965-05-19,https://www.diputados.gov.ar/diputados/jaavila/
kbanfi,"Banfi, Karina",BUENOS AIRES,ADELANTE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,1972-02-27,https://www.diputados.gov.ar/diputados/kbanfi/
mbarbur,"Barbur, Marcelo",SANTIAGO DEL ESTERO,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1967-10-09,https://www.diputados.gov.ar/diputados/mbarbur/
lbasterra,"Basterra, Luis Eugenio",FORMOSA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1958-10-14,https://www.diputados.gov.ar/diputados/lbasterra/
abasualdo,"Basualdo, Atilio",FORMOSA,LA LIBERTAD AVANZA,2025-2029,2025-12-17,2029-12-09,1962-04-04,https://www.diputados.gov.ar/diputados/abasualdo/
cbasualdo,"Basualdo, Carolina",CORDOBA,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,1978-06-19,https://www.diputados.gov.ar/diputados/cbasualdo/
mbecerra,"Becerra, Mónica",SAN LUIS,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1974-06-16,https://www.diputados.gov.ar/diputados/mbecerra/
bbenedit,"Benedit, Beltrán",ENTRE RIOS,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1957-09-28,https://www.diputados.gov.ar/diputados/bbenedit/
abenegasl,"Benegas Lynch, Bertie",BUENOS AIRES,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1967-11-04,https://www.diputados.gov.ar/diputados/abenegasl/
rbianchetti,"Bianchetti, Emmanuel",MISIONES,PRO,2023-2027,2023-12-10,2027-12-09,1981-08-01,https://www.diputados.gov.ar/diputados/rbianchetti/
bbiellac,"Biella, Bernardo",SALTA,INNOVACIÓN FEDERAL,2025-2029,2025-12-10,2029-12-09,1963-01-31,https://www.diputados.gov.ar/diputados/bbiellac/
rbonacci,"Bonacci, Rocío",SANTA FE,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1996-06-29,https://www.diputados.gov.ar/diputados/rbonacci/
abongiovanni,"Bongiovanni, Alejandro",SANTA FE,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1983-03-23,https://www.diputados.gov.ar/diputados/abongiovanni/
gbordet,"Bordet, Gustavo",ENTRE RIOS,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1962-02-21,https://www.diputados.gov.ar/diputados/gbordet/
aborgatta,"Borgatta, Alejandrina",SANTA FE,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1984-02-10,https://www.diputados.gov.ar/diputados/aborgatta/
gbornoroni,"Bornoroni, Gabriel",CORDOBA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1978-06-17,https://www.diputados.gov.ar/diputados/gbornoroni/
mbregman,"Bregman, Myriam",CIUDAD DE BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,2025-2029,2025-12-10,2029-12-09,1972-02-25,https://www.diputados.gov.ar/diputados/mbregman/
cabrizuela,"Brizuela, Adrián",CATAMARCA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1972-08-26,https://www.diputados.gov.ar/diputados/cabrizuela/
jbrugge,"Brügge, Juan Fernando",CORDOBA,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1962-06-24,https://www.diputados.gov.ar/diputados/jbrugge/
ebruno,"Bruno, Eliana",SALTA,LA LIBERTAD AVANZA,2023-2027,2025-12-10,2027-12-09,1988-08-31,https://www.diputados.gov.ar/diputados/ebruno/
scafiero,"Cafiero, Santiago",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1979-08-30,https://www.diputados.gov.ar/diputados/scafiero/
mcampero,"Campero, Mariano",TUCUMAN,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,1983-04-22,https://www.diputados.gov.ar/diputados/mcampero/
ccampitelli,"Campitelli, Celia",SANTIAGO DEL ESTERO,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1949-06-09,https://www.diputados.gov.ar/diputados/ccampitelli/
jmcampo,"Campo, Julieta Marisol",CHACO,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1993-08-12,https://www.diputados.gov.ar/diputados/jmcampo/
lcampora,"Cámpora, Lucía",CIUDAD DE BUENOS AIRES,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,1990-12-25,https://www.diputados.gov.ar/diputados/lcampora/
scapozzi,"Capozzi, Sergio Eduardo",RIO NEGRO,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,1953-10-31,https://www.diputados.gov.ar/diputados/scapozzi/
mcarignano,"Carignano, Florencia",SANTA FE,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1978-07-09,https://www.diputados.gov.ar/diputados/mcarignano/
acarrancio,"Carrancio, Alejandro",BUENOS AIRES,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,1976-07-01,https://www.diputados.gov.ar/diputados/acarrancio/
scasas,"Casas, Sergio Guillermo",LA RIOJA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1965-02-19,https://www.diputados.gov.ar/diputados/scasas/
ccastagneto,"Castagneto, Carlos Daniel",BUENOS AIRES,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,1960-11-01,https://www.diputados.gov.ar/diputados/ccastagneto/
